Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,1769.219971,1793.050049,1731.709961,1759.369995,1759.369995,2435280000
2007-01-04,1763.150024,1799.069946,1757.000000,1792.910034,1792.910034,2104210000
2007-01-05,1787.790039,1787.790039,1770.290039,1785.300049,1785.300049,2060360000
2007-01-08,1786.390015,1795.449951,1776.989990,1787.140015,1787.140015,1905620000
2007-01-09,1791.750000,1802.439941,1776.729980,1795.630005,1795.630005,2144160000
2007-01-10,1790.510010,1817.219971,1784.280029,1816.150024,1816.150024,2274210000
2007-01-11,1820.750000,1840.880005,1818.089966,1834.859985,1834.859985,2436270000
2007-01-12,1832.150024,1845.680054,1830.339966,1844.810059,1844.810059,2175810000
2007-01-16,1844.729980,1847.540039,1836.829956,1842.439941,1842.439941,2139550000
2007-01-17,1835.050049,1843.069946,1824.739990,1827.680054,1827.680054,2273880000
2007-01-18,1821.989990,1824.339966,1789.390015,1793.680054,1793.680054,2456180000
2007-01-19,1787.819946,1802.219971,1787.520020,1796.810059,1796.810059,2037890000
2007-01-22,1800.329956,1800.530029,1771.239990,1779.020020,1779.020020,1900860000
2007-01-23,1776.829956,1790.069946,1771.439941,1773.400024,1773.400024,2001100000
2007-01-24,1785.420044,1803.459961,1781.819946,1802.630005,1802.630005,2202040000
2007-01-25,1806.750000,1810.239990,1774.579956,1777.750000,1777.750000,2202280000
2007-01-26,1783.380005,1784.819946,1763.300049,1772.969971,1772.969971,2067080000
2007-01-29,1771.050049,1786.969971,1767.089966,1775.079956,1775.079956,1915400000
2007-01-30,1780.260010,1782.209961,1772.030029,1777.760010,1777.760010,1769600000
2007-01-31,1774.439941,1798.489990,1764.630005,1792.280029,1792.280029,2186710000
2007-02-01,1801.599976,1806.810059,1785.540039,1791.449951,1791.449951,2170040000
2007-02-02,1795.680054,1800.390015,1788.969971,1798.130005,1798.130005,1876770000
2007-02-05,1796.479980,1804.400024,1789.719971,1795.390015,1795.390015,1875310000
2007-02-06,1799.329956,1800.050049,1776.510010,1793.060059,1793.060059,2113710000
2007-02-07,1803.229980,1816.770020,1796.180054,1810.949951,1810.949951,2198410000
2007-02-08,1807.410034,1814.479980,1800.630005,1810.540039,1810.540039,1995880000
2007-02-09,1815.219971,1819.300049,1780.439941,1785.530029,1785.530029,2186590000
2007-02-12,1787.109985,1787.109985,1774.250000,1778.420044,1778.420044,1840250000
2007-02-13,1782.160034,1789.979980,1778.660034,1783.819946,1783.819946,1821390000
2007-02-14,1792.739990,1818.550049,1792.290039,1814.979980,1814.979980,2173580000
2007-02-15,1815.489990,1824.089966,1813.069946,1823.410034,1823.410034,1949670000
2007-02-16,1818.560059,1823.369995,1813.900024,1821.489990,1821.489990,1887430000
2007-02-20,1817.839966,1835.310059,1808.109985,1833.709961,1833.709961,2165590000
2007-02-21,1827.030029,1839.130005,1824.530029,1839.130005,1839.130005,2012450000
2007-02-22,1845.469971,1851.469971,1832.599976,1846.339966,1846.339966,1850960000
2007-02-23,1845.410034,1846.770020,1832.400024,1839.770020,1839.770020,2012220000
2007-02-26,1848.479980,1849.089966,1819.760010,1830.589966,1830.589966,1912480000
2007-02-27,1801.869995,1808.079956,1750.699951,1756.270020,1756.270020,3037380000
2007-02-28,1754.880005,1778.170044,1746.290039,1761.599976,1761.599976,2620450000
2007-03-01,1729.030029,1768.959961,1717.949951,1753.449951,1753.449951,2710750000
2007-03-02,1740.869995,1752.859985,1726.030029,1726.030029,1726.030029,2352790000
2007-03-05,1726.030029,1739.050049,1710.969971,1712.939941,1712.939941,2291680000
